	comment	0
0	，在商场里逛了一圈，发现还是小米的性价比应该是最高，用了两天，感觉不错，图像清晰流畅，赞一个	正面
1	：用了几天才来评价的，总体还是挺满意的，电视轻薄，挪动方便，画质也能接受，操作系统也没毛病，这个价位来说是推荐小米的！	负面
2	【送给各位小仙女，当大家看到我的这一篇评价时，表示我对产品是认可的，尽管我此刻的这一方面是为了肯定商家的服务，另一方面是为了节省自己的时间，如果不好 我会直接说的。所以大家就当作是产品质量合格的意思来看就行了。最后祝店家越做越好，大家幸福平安，中华民族繁荣昌盛	负面
3	1.客服给的安装电话永远打不通。2.客服建议自己动手安装，安装上去后，插线的位置和颜色对不上，客服根本无法沟通。3.要求电话回复未果。4.真心垃圾客服，和售后。	负面
4	6.18便宜了一块钱 接口能优化些会更好，别的都还好。	负面
5	618非常实惠，物流也很快，一回家就装上看电视了	正面
6	618搞活动买的，价格很实惠，才799，放在主卧，无聊的时候追追剧，就是物流不给力，11号买的，14号才给我送过来，还是同城快递，物流还写着收件人电话无法接通，明明是下雨没给我送，明明写着送货入户，还让我们自己搬，物流公司服务态度差，还好电视质量还行，播放效果也不错，就是广告时间太长了100多秒，中间还要插播广告，会员又特别贵～	负面
7	618活动才买的机子，到货不到两天机子就出现黑点了，联系的客服，说要工作人员检测才行，工作人员上门检测后，直接换了一台机子（包装上是售后用机）。换完机子后才发现和原先到货机子的有些许不一样，换了机子没有保护膜等。开机升级的次数也不一样，换了机子升级了两次才能用。再次联系客服，客服的解释是机子生产的批次不同。呵呵了。客服也不提七天包退的内容。第一次网购家电还是比较失望的。	负面
8	899买的，画质清晰，就是不知道咋回事，放某讯的平台，屏幕一会一会的闪	负面
9	f小米官网发售后服务好的时候就知道非常好用的时候就什么时候回来了吗没有啊厦航航航拍中国移动通信工程造价工程师证明一下午安全教育平台软件工程造价工程师证明一下，好评，简单实用，效果不错	正面
10	S速度快服你们务好	负面
11	爱用国货 支持小米 小米爱用户 家里一堆小米，希望小米能给我一流的产品，平民价格。	正面
12	安装师傅很负责	正面
13	帮舅舅买的   应该是不错的	正面
14	帮老母亲买的，电视很清晰。老人家不会用只好卫星接收器。很好！好评！	正面
15	帮亲戚买的，还不知道怎么样	正面
16	帮亲戚买的、还不错	正面
17	包装很好 快递很快第二天就到了 服务态度很好 用着也很不错 希望能耐用 用几天在来评价	正面
18	包装精致，电视高大上。非常满意，唯一不足就是隔一个房间wifi信号不是满格。是不是内置接收器可以改进一下？	负面
19	宝贝安全到家。客服热情，给个满分。电视一般啦。凑合看。	正面
20	宝贝不错	正面
21	宝贝不错！屏幕清晰画质好，下次还会购买	正面
22	宝贝不错，非常满意，满分五星好评。	正面
23	宝贝不错，好评！	正面
24	宝贝不错，淘宝几年才知道原来评论85个字才会有积分。所以从今天到以后，这段话走到哪里就会复制到哪里。首先要保证质量啊，东西不赖啊。快递还送货上门，不然就用别的话来评论了。不知道这样子够不够85字。谢谢老板的认真检查。东西特别好，我不是刷评论的，我是觉得东西好我才买的，你会发现我每一家都是这么写的。因为复制一下就好了。	正面
25	宝贝不错哦，卖家服务态度也很好，赞一个	正面
26	宝贝到货很快，昨天下单，今天早上就到了，装机师傅更是迅速，一个早上全部搞定，直接上墙，小米这服务必须满分，为了ns，买个小米电视，可以躺在床上玩塞尔达，美滋滋，现在真的可以躺尸在房间里一整天了，全部好评，电视分辨率也很好，操作友善，足球日还能看看足球，再也不用在笔记本上看了，不错不错	正面
27	宝贝电视很好屏幕清晰声音效果非常完美，由衷的喜欢	正面
28	宝贝发货很快，客服人也很好。安装简单。快递小哥也很好。联网直接看。高清的也不错。这个价格很便宜哦。	正面
29	宝贝非常好，就是父母不怎么会用，每次看电视都要视屏教他们??	正面
30	宝贝给老人买的，很好用，老人非常开心，电视质量也好。，相信小米。	正面
31	宝贝很不错	正面
32	宝贝很好，很轻便，给家里老人买的，应该会收到表扬的，老公试了一下，说音质很好，听起来悦耳动听，有点儿小遗憾的是马上就到618啦！如果等等的话，也许可以更便宜的啦，因为没在家所以没法拍视频和照片啦只能放一张别的照片弥补一下	负面
33	宝贝很好，家人非常喜欢。	正面
34	宝贝很好很完美，忘记买个再大点了。买的小了，屏幕这么清晰，再买个大的估计也没任何问题。很流畅，用一段时间看看。	正面
35	宝贝很满意、就是安装需要另外掏一百块钱	正面
36	宝贝很满意对得起这个价钱，做工各个方面都不错没毛病！！！快递小哥每一台都给通电态度很好！！！	正面
37	宝贝很清晰，质量还得用时间去证明了	正面
38	宝贝收到，物流速度超级快，东西也好总体不错，挺愉快的一次购物	正面
39	宝贝收到非常喜欢给五分好评	正面
40	宝贝收到了，不错好评！	正面
41	宝贝收到了，不在家，没有看到，不过相信小米	正面
42	宝贝收到了，国产品牌，值得信赖，超?我们镇上的农村淘宝天猫服务站，真一流的服务?是必须的。	正面
43	宝贝收到了，我非常满意！	正面
44	宝贝收到了，暂时看起来还不错，用一段时间再过来评价吧。	正面
45	宝贝收到挺好的	正面
46	宝贝收货后一段时间，因为没空，今天才装上用，很简单，本身家里有小米盒子，一连接WLAN	正面
47	宝贝太好了，满意！客服小姐姐的态度更好，非常耐心仔细得帮我调节电视机，超满意，给五星！有需要还会再来的，由于电视机在乡下没有拍下视频和图片，真的非常抱歉，下次回乡下时再追评哦！再嗦一句，也非常感谢快递小哥送货到家，开机验货的认真态度，也给个五星！非常感谢！非常感谢！非常感谢！重要事情说三遍！	正面
48	宝贝太好了，太划算了，没出手的不要在犹豫了！	正面
49	宝贝挺好，送货的物流也挺好的!	正面
50	宝贝下单后很快就收到了，一切正常，和上次购买不一样是快递小哥的态度，这次给你4分，给你机会做好，价格不在贵，在于品质，希望你们越做越好	正面
51	宝贝已收到，我很喜欢，还没开机不知视觉效果怎么样！	正面
52	宝贝已收到，性价比非常高，昨天下单，今天就到了，快递贼快！	正面
53	宝贝已收到很好，和描述一样，物流非常好五星?好评。	正面
54	宝贝真的很好比实体店里的电视机便宜多了。物流配送都很好送货到家，免费安装，目前看效果还不错，值得购买。	正面
55	本来网购电器还是比较不怎么放心的，算是第一次抱着试试的态度吧，性价比很高，切换速度很快，一次比较满意的购物！就是物流有点耽搁，我还是自己开车提货的。	负面
56	本来想拍个电视的图，可是电视没开，像个镜子反光把我家都反射出来?，不给你们拍了，我懒得开电视。电视不错。放卧室看挺好的，有些节目不能看，还要会员，哼(?&bull;ˇ?ˇ&bull;?)买的时候觉得超级划算，结果前几天抽奖抽到个满600可用的100红包，我立刻就肉疼了，电视再晚几天就可以用啊?买早了。红包也没用上浪费了&hellip;哼！	负面
57	比较不错，收到了就有人联系说安装，自己组装了，也不需要上门了，还不错吧，过段时间买个大的	正面
58	比较轻便，还是不错的	正面
59	比想象中小一点 也可能是我家电视柜大了 还算可以 画面不是太高清 这个价钱值了	正面
60	必须5分好评，速度快，而且物流直接送到村里，现在服务这么到位，真心满意，关键还是个大件物品，包装完好	负面
61	便宜实惠，小米应该质量不错的	正面
62	不错	正面
63	不错	正面
64	不错	正面
65	不错	正面
66	不错	正面
67	不错	正面
68	不错   不错   值得信赖	正面
69	不错   给家里爷爷奶奶买的  在农村 送到家了的 物美价廉	正面
70	不错  送货很快  画质清晰  暂时没发现啥毛病	正面
71	不错 很好	正面
72	不错 快递速度很快 电视质量不错	正面
73	不错！好评	正面
74	不错，大小合适，很清晰，照不出清晰度效果，	正面
75	不错，非常清晰	正面
76	不错，功能强大，细节都考虑了，支持小米	正面
77	不错，很好用，连接wifi直接看！	正面
78	不错，很清晰，	正面
79	不错，很值，满分好评！	正面
80	不错，画面清晰，大小合适，物流特快，5分	正面
81	不错，价格划算	正面
82	不错，就是点播的基本要收钱的	负面
83	不错，客服态度也好	正面
84	不错，屏幕清晰	正面
85	不错，挺好	正面
86	不错，效果很好	正面
87	不错，性价比很高，服务态度很好，路转粉，以后会多关注小米产品的	正面
88	不错，暂时没毛病	正面
89	不错，这个价格买到了	正面
90	不错、服务也好	正面
91	不错～	正面
92	不错不错！这个牌子很好，画面很美好清楚，家长很喜欢，说物流很快，很值得购买，感谢商家！	正面
93	不错不错，还是小米的产品好啊	正面
94	不错不错，价格实惠。看着也清楚，小房子用足够了！	正面
95	不错的电视，对得起这样的价格，感觉物有所值	正面
96	不错的哟，支持	正面
97	不错点赞	正面
98	不错哦	正面
99	不错傻瓜操作	正面
100	不错试机后正常。超值	正面
101	不错挺好的，我爷爷非常喜欢	正面
102	不大，很便宜，用一段时间应该可以的，不要期待太高，毕竟那么便宜啦	负面
103	才买几天就掉价了，还是聚划算买的。国产的电视还是买海信吧，反正价钱差不了多少，人家是自己做的，不像小米要叫别人做，再打上小米的牌子。买了吧就像，有一种强大的精神力量支撑着我，叫 ????&ldquo;想死又不敢&rdquo;。物流很快，有包送上楼。	负面
104	才收到货，等安装人员帮我安装	正面
105	操作流畅，片源丰富。虽然晚了一天送到，但618可以理解的	负面
106	差！差！差！799的东西，我就不追求什么细节了。但是开机广告加茫茫多的应用我受不了。关键是退货更搞笑。按海信电视机收费，返回费用28，小米要收100，而且不让我自己叫快递。网购那么多年，第一次听见返回不能自己叫快递的。按这道理返回费用随便他们订，绝对霸王条款	负面
107	产品不错，物流垃圾，十公里等三天。我以为易碎品怕坏走路送货呢，结果不是走路送货	负面
108	产品很不错，6/1号0点抢购，799RMB很划算，6/3号就送到家里面了，物流很好，客服也不错。电视机收到后，自己安装底座就可以了，接上有线电视，调试好了就可以使用，画质也不错，老妈很满意电视机。	负面
109	产品特别好物美价廉 服务人员也特别好	正面
110	产品质量很好，快件非常快了，我忘记评价不好意思。。	正面
111	超棒，真的很满意，物流也超快，大大的赞	负面
112	超级棒，超级棒，超级棒，姥姥很喜欢，很喜欢，就是遥控器如果能加钱换成语音的就更好了，毕竟老人不太会用，不小心按到别的就不会了，哈哈?，等以后买个最贵的用用。感受一下来自黑科技的力量。	负面
113	超级棒，在下面实体店铺看了各种的，最后还是选择了网购，超级实惠，到家立马安装好了，流程，好用。	正面
114	超级实惠的价格！使用了不错，好评好评	正面
115	出乎意料的好，不愧是小米，真的很智能很惠民，超赞	正面
116	出租房里给租户用的，还可以吧，家里的也都是小米，以后需要还会再买的。	正面
117	大小刚刚好适合方浴室里	正面
118	大小合适 送货很快	正面
119	大小正好放在卧室里，刚开始有一点不清晰，但用一段时间后就好了。关注了一段时间了，618买实在是划算呀～	正面
120	到了，便宜实惠，一直信赖小米。不知不觉中身边的东西都与小米有关了。???	正面
121	到了马上就看了 很舒服	正面
122	第二次购买	正面
123	第二次购买了，相信小米的质量。	正面
124	第二次买了很好很满意！小巧玲珑方便实用！	正面
125	第二次买小米电视不错	正面
126	第二个小米了，价格实惠，很好，好评	正面
127	第二台了	负面
128	第二台了，准备再买两台，就是没送挂架，还要另外买，麻烦	负面
129	第三台了，小米是我的心头好！无论买什么东西，首先的考虑品牌就是它！	正面
130	第一次开箱碎屏了，有点小失望，可是立马就返回重发了，等了五天终于收到了，包装完好，开机正常，非常清晰，灵敏度相当快，一点都不卡。这下不要再担心了。我是米粉，对小米很有信心，不管是手机还是电视的性价比都相当的高，是我们这些不是有钱人的首选。非常感谢！	负面
131	第一次买，看了还挺不错的...	正面
132	第一次买小米，电视还不错	正面
133	第一次买小米的电视，第一眼十分满意，体验过再追加评。 物流小哥服务到位，好评。	正面
134	第一次买小米电视，很好很清醒。配合天猫精灵很好用买给父母的他们都很喜欢。好评	正面
135	第一次拍小米电视机，性价比高！图像还算清晰，卧室看足够了。 尤其配合投屏神器使用，使用体验很爽。	正面
136	第一次送来电视机有问题，花了差不多一周的时间再送过来	正面
137	第一次下单到收货那么快，不到12小时！比想象的要好！希望一直耐用！	负面
138	第一次在网上买电视机，性价比高，画质清楚，色彩可以，很满意的一次网购，好评！！！！！！！	正面
139	电视?还不错	正面
140	电视?收到了，入户到家。暂时还没有时间安装呢，过两天再来追评	正面
141	电视比想象中要小一点，退货是需要花100快运费的，所以买的时候要考虑清楚了。	负面
142	电视不错	正面
143	电视不错	正面
144	电视不错	正面
145	电视不错，给爸妈在卧室里买的，自己动手安装很容易，整体外观不错，挺轻便的。物流不准时，中间问天猫客服也有不愉快的事情发生，好了，不提了，618降价50，客服也很快补了差价，问题处理的很及时	负面
146	电视不错，很好用，第一次送货入户，屏破了，联系客服，拒收补发了一个新的，态度相当好，物流还赔付了延时送到的费用，不错。	负面
147	电视不错，很清晰。	正面
148	电视不错，就是降价太快了。服务还不错网络电视很方便连wifi就可以用	负面
149	电视不错，开机连接网络就能用了，画面也好，儿子很高兴，每天都可以看动画片了，物流服务很好，速度快，服务到位，以前没买过小米的产品，以后要多多支持了，	正面
150	电视不错，售后服务也不错	正面
151	电视不错，外观好，一直信赖小米产品，物流人员服务好，特别周到，	正面
152	电视不错，物流更不错，因为着急要就和物流商量了一下提前两天就送到了。非常的满意！！！	正面
153	电视不错，显示效果很好！性价比高	正面
154	电视不错。	正面
155	电视不错。超值。	正面
156	电视不错的，尺寸刚刚好，适合面积不大的家庭用。画质也够清晰，这个价格超值。	正面
157	电视不错很好	正面
158	电视操作简单，音质图片色彩很好，好用的东西，物美价廉，客服服务也很赞，回复很快，真情推荐	正面
159	电视大小刚好，网络连接很好   很方便	正面
160	电视发货速度快，没有挂架，又买了架子，电视操作很方便，好评！！	负面
161	电视非常好	正面
162	电视非常好    比三星要好	正面
163	电视非常好，安装软件后不卡顿，很流畅。	正面
164	电视非常好，也非常清晰，大家快来买。	正面
165	电视功能强大！就是看直播的软件有点卡。要是小米能自己出看直播的软件就好了。	负面
166	电视还不错 就是小米会员和小米儿童太坑	正面
167	电视还不错，打开试了下，画质还可以	正面
168	电视还不错，功能马马虎虎，主要是新电视购买，居然没有送会员，这点让我出乎意料，所以感觉有些失望，至少说送几个月会员让人过过瘾再考虑还是肯德，可是没有，太让我失望了，哎！	负面
169	电视还不错，老在使用，物流师傅特别快，态度非常好，赞?。	正面
170	电视还不错，买给父母用的，以后准备买个大的看看	正面
171	电视还好，就是送货员态度不怎样，让帮忙装一下都不愿意。	负面
172	电视还可以，就是广告有点多	负面
173	电视还满意，反应速度挺快的，轻但是不薄哦！目前没什么问题！用一段时间再说	负面
174	电视还是可以的。家里面用的是有线每次开机需要设置信号源   有些不方便	负面
175	电视好，就是安装要收钱，来装本来要130，问了客服，告知回绝找到100的，所以要安装着注意了。	负面
176	电视很便宜。东西很好。。。物流人态度也挺好的移民啪啪啪我去同岁8呵呵恶魔之我去碎觉了好厉害的样子宿舍今个儿童摄影随心所欲他	正面
177	电视很不错	正面
178	电视很不错！就是快递太垃圾了一个劲打电话说找不到地方最后我自己跑下去接到他还一副不高兴的样子说话很凶 网购以来遇到态度最恶劣的快递员	负面
179	电视很不错，反应也快，物流人员还在家试了试！	负面
180	电视很不错，清晰度也可以，支持小米电视，喜欢的朋友可以放心购买。	正面
181	电视很不错，性价比超高	正面
182	电视很不错就是要会员	正面
183	电视很好，操作方便。好评。	正面
184	电视很好，第一次开机，还要小米账号，弄了很久。后续会跟进，评论	正面
185	电视很好，价格划算，还可以连接wifi，还可以投屏，比国产的那些好太多，手机也是小米的，一直都是米粉	正面
186	电视很好，买给父母卧室用，老人不会调到有线电视的信号源去，这个小米可以改进改进，要简化操作。刚买没多久就618，又降价100！	负面
187	电视很好，一直很信赖小米的东西。赶上活动就给老妈拍了一个。特别不错。再说一下物流，下订单就确认转天送货时间，服务也特别好，开机验收，而且很有耐心。感谢。	正面
188	电视很好。物流态度也很好，满分	负面
189	电视很好很清晰，操作很方便	正面
190	电视很满意，连接无线网，可以在线查找视频，利用投屏神器，可以把手机里面的视频，任意看，非常方便！清晰度很不错。	正面
191	电视很清楚，物有所值	正面
192	电视很清晰，大小也不错！就是什么都要会员！	正面
193	电视画面清晰度还不错，就是广告太多，没有机顶盒不知道怎样看直播	负面
194	电视机OK	正面
195	电视机不错，画面清晰，就广告多点，时间长点，看了几天了也没发现什么毛病，不错，这个价位很划算，值得入手购买	正面
196	电视机不错，物美价廉。就是物流太差了	正面
197	电视机还不错这个价位性价比很高了。	正面
198	电视机还行，清晰度不怎么样！ 物流真特么逗我，我这地址收了几百个快递都没问题，日日顺物流 ：还问我怎么走，走什么路，逗我吗，说了放前台还打电话让我跟前台人确认几遍，烦不烦！	负面
199	电视机还可以。以后再来追评。因为没有装别的，只是用网络无线看节目，节目很少。大多数需要会员才能用。有点伤心。不过电视画面都是挺好的。买来后女儿比较少看手机了。以后再来追评。	负面
200	电视机很不错	正面
201	电视机很不错，非常满意	正面
202	电视机很不错，画质音质都棒棒哒，给家里老人替换的显像管电视，很满意。	正面
203	电视机很好，就是给老人家用有点麻烦。	负面
204	电视机很好安装，还可以，刚刚好，放在房间里面	负面
205	电视机收到了，很不错，米粉用了都说好！大小放在卧室正好合适，看着也挺舒服的！  发货很快，物流非常负责，送到以后还打电话询问满意度！很满意就对了	正面
206	电视机收到了，物美价廉！	正面
207	电视机收到了，已经是第2次购买。电视机质量好就不说了，物流公司和快递员的服务更是一流棒棒的。	正面
208	电视机收到了，总体来说还是过得去，比起品牌电视色彩就差很多了，质量如何，还有待使用后再作评价。先给予好评。	正面
209	电视机收到了很好，快递小哥服务态度超级好。这么热的天气真心辛苦快递小哥了。	负面
210	电视机送过来，老人不懂直接在签收单上签了名，但拆开之后，看到屏幕有一点划痕，咨询客服后专员联系我说由于送货单已经签字，这个他们不负责，我无语。之后我再次咨询客服，让专员联系我，至今没有联系，只能自己吃这个哑巴亏。这是我购物这么多年第一次给差评。	负面
211	电视机挺好，师傅服劣态度非常好	正面
212	电视机挺好的   物有所值   连上Wi-Fi就能看了	正面
213	电视机挺好用的，关键是价格便宜！操作也简单，百度了一下，自己调试的，挺不错的！	正面
214	电视机质量非常好。	正面
215	电视机质量还可以，就是买的小了点，应该买40寸	负面
216	电视机昨天买的已收到，速度啊	正面
217	电视己收，非常满楚，质量又好	正面
218	电视价格实惠，送货很快，销量也高应该可以的，功能强大，试了机器还没有使用，后续追加！	正面
219	电视看上去还行吧，一分价钱一分货，清晰度还可以，总之就是值得购买，物流速度很快，发货也及时！	负面
220	电视没有达到自己的预期。尤其是插u盘电影和播放网络电视方面不满意。播放时经常卡顿缓冲，wifi链接家里路由器时经常断网反复链接。当然电视机价格摆在这里期望不要太高。放放有线电视足够用。客服态度不错	正面
221	电视轻巧超薄，美观实用，画质清晰，操作简单，功能强大，非常满意的一次购物。	正面
222	电视清晰度非常不错，功能也比较强大，可以投影手机，性价比非常不错	正面
223	电视清晰度还可以吧 没有他们说的那么清晰，毕竟价钱在这摆着，就是性价比高，好评	负面
224	电视收到，用了几天，很不错，小米品牌就是价格不贵质量不差，画面清晰，音质也好，给闺女用来看汪汪队，小猪佩奇，很好	正面
225	电视收到，昨天发货今天就到了，物流服务好，也快，外壳完好。。。安装过程中，有什么不懂的，卖家也及时回复，满分。。电视清晰，开机连接网络就能用了，画面也好，儿子很高兴，每天都可以看动画片了，物流服务很好，速度快，服务到位，以前没买过小米的产品，以后要多多支持了，大家放心购买。。。	正面
226	电视收到，昨天发货今天就到了，物流服务好，也快，外壳完好。。。安装过程中，有什么不懂的，卖家也及时回复，满分。。电视清晰，开机连接网络就能用了，画面也好，家人很高兴，每天都可以看喜剧片了，物流服务很好，速度快，服务到位，以前没买过小米的产品，以后要多多支持了，大家放心购买。。。 服务好~	正面
227	电视收到好几天了，一直忘记来评价，用了几天没有什么问题，还不错哦！内置wifi的，不用买网络盒子，宝宝们很喜欢看动画片儿歌，我手机摄像头有点坏了拍的视频有点模糊，其实现在很清晰呢！	负面
228	电视收到很久了，用起来放心	正面
229	电视收到几天了  客服非常细心  电视演了几天非常满意	正面
230	电视收到了，放了几天了，电视很好，很清晰，效果不错，价格还很实惠。不错值得推荐	正面
231	电视收到了，还不错，老爸老妈很喜欢	正面
232	电视收到了，挺好的，还可以用无线，超级好用！	正面
233	电视收到了用了两天再评价，目前感觉还不错价格也不贵 货物也是完好无损	负面
234	电视太好了，画面很清楚	正面
235	电视挺好  还算清晰  希望能用的时间久一点	正面
236	电视挺好的，很清晰，一开始在网上看到好多不好的评论，一直在犹豫，后来朋友说不错就下单了，收到货后看了几天才来评价的，真的不错，性能也很好，在同等价位里面应该很不错了。	负面
237	电视挺好的，看着舒服，满意，家里都用小米的，大小放我的屋里正好的，可以连接网络，看联通的机顶盒，送货快，自己买的架子自己安的，挺好的，看着满意！	正面
238	电视挺好的，买给父母卧室用的，他们说很清楚，用的数字电视，也一样好用，小米电视没有让人失望，不错不错不错不错不错不错	正面
239	电视挺好的，物流不咋滴	负面
240	电视外观简洁大方，图像质量清晰。快递也很给力，赞！	正面
241	电视我很喜欢，屏幕也很清晰，价格很实惠，大小也很符合我的心意，里面电视的内容也很全很多，以前是米粉，再次购买小米果然也没有让我失望，以后客厅还会重新买一台大尺寸的小米电视，真的很满意，功能齐全好找，喜欢，喜欢，喜欢	正面
242	电视物流速度特快！比手机都快??(??&omega;???)&nbsp; 电视很轻便，安装好试了试，很满意，第一次买小米电视，对于这个品牌还是很熟悉的！想问下怎么和小爱音响链接？ 支持小米，五星好评！！！	正面
243	电视相当不错	正面
244	电视效果不错，价格也很优惠。	正面
245	电视性比价高，大小合适，清晰度非常好，没让我失望。	正面
246	电视性价比超高，大小合适，很好用，画质清楚，色彩很好，非常满意的一次网购！	正面
247	电视性价比还是有的 如果追求画质就算了 因为便宜不好意思说画质如何 但是稍有后悔应该多花点钱买LG就好了  买东西抱幻想是不对的 客服售前还回应 售后只有气死你的自动回复呵呵 小米	负面
248	电视一点都不清楚，退货还要一百块钱！我表示非常的不开心，不清晰，就是不清晰！	负面
249	电视已经收到，，测试没发现什么问题，目前很满意，，，看看能用多久，，，	负面
250	电视已经收到了，，很不错可以的，一分钱一分货，千元以内的电视.我也只选小米32寸的真的很好了，小米的所有客服也非常有耐心，服务态度非常好我给5颗星。	正面
251	电视已收到  整体来说很完美 就是赶上618  物流方面有点慢！	负面
252	电视用了几天才过来评论，真心不错，祝小米公司越来越好	正面
253	电视用了些天了，发货快第二天就收到了给了我个惊喜从来没这么快过。电视非常薄，可以连无线，也可以看卫星机顶盒。画质很清晰。就是支架感觉有点低。对了，自从收货后，找客服就不理人了，再没理过我。	负面
254	电视用着还不错，图像和声音都不错，还好。	正面
255	电视真的很不错哦，价格实惠，也很清晰，节目很多很满意	正面
256	电视质量不错，我很喜欢。便宜舒服啊。嘿嘿嘿。	正面
257	电视昨天已经安好了，可以正常看了。快递速度杠杠的，早晨下单，晚上就送到了。辛苦送货师傅了！就是被自己蠢哭了，快递地址给填到单位了。智能电视联网以后还可以在线观看，不错！赶明有空了研究研究。	正面
258	电影也太过于轻了吧，用段时间在追评！	正面
259	东西不错 物流很快 网络用着蛮方便的 很好	正面
260	东西不错，会回购	正面
261	东西超级棒 在这个价位能买到这么好的东西就小米了 像素什么的都超好 美中不足的就是有广告	正面
262	东西非常满意，不用不知道，原来现在的电视连上无线网络这么强大，三千多个电视台，各种应用里的资源也挺丰富，比有线强多了。	正面
263	东西还可以  就是物流速度太慢了  2-3个小时的路程  愣是用了2天还有多   东西90分  物流只能0分甚至负分	负面
264	东西还可以，但是整体物流体系和安装体系太糟糕。预约了周日送货上门，结果很随意的打电话来变更时间，理由居然是没空。好，送到了我们才发现居然不负责安装，要自己约，还不提供发票，问客服，前后转了2个客服，居然也说不开票。一件小事折腾了一周，非常糟糕的购物体验。无语了。	正面
265	东西很好，物流很快，用后追评	正面
266	东西很好，值得购就是有一点，我买了，到了，今天显示799，这是？？？	正面
267	东西很好很好很好真的很棒	正面
268	东西很好用，功能很强大，上网，数字电视，USB都可以连接！	正面
269	东西可以，不错	正面
270	东西收到后，马上查看，发现与图片描述一致，真心超级喜欢，很划算。发货速度快，物流快服务也好，很快就收到了，给快递哥点赞。东西是正品，价格也很便宜，服务态度也好，质量过关，给老板点个赞，祝老板生意旺旺，哈哈，下次还会再光顾，希望能更优惠。	正面
271	东西收到了，但愿能用住哈哈	正面
272	东西收到了，挺好的，谢谢商家，下次还会光顾	正面
273	东西收到了很喜欢，特别表扬一下物流小哥很给力	正面
274	东西也就那样吧！画质不是很清晰！开机有广告！也懒得退了！毕竟不到800块钱的东西！要买的慎重！	负面
275	东西一般，播放时广告流畅的一批，一放其它视频老是播放有问题。网站物流配送时间明显有问题，这边晚上不送不说，告诉我下午不顺路，不过来送。预约了周末送，第二天早上10点又通知我收货。	负面
276	东西值得购买，绝对物有所值，物流也非常快，第二天中午就到了，感谢快递小哥	正面
277	对比电视海信，电视开机时间非常非常长，电视没联网感觉联网后会有巨多广告，遥控器按键体验非常差，廉价易坏，遥控接受需完全对准，没有数字按键。电视本身非常轻，显示质量一般，关机操作复杂，别的电视没体验过，所以电视还是买主流品牌吧，否则跟家里解释起来都很复杂，Ps家里人吐槽：等开开机就好干活了！这个怎么换台？为什么没有反应？电视这样关上了？没有，怎么关？还有不用大半夜买，送的那米粉卡小米商城一大把一模一样的，就小米客服这样子，我就估计小米售后也是渣渣，再见无爱了	负面
278	对于服务：很耐心的帮忙解答疑问，尽管遇到不太懂的后来也及时了解清楚并且反馈给我～所以这一块令我最满意； 对于产品：性价比很高，图像清晰，即能接机顶盒看电视，也能连wifi收看一些节目电影什么	正面
279	对于米粉来说，米家里的的东东多不会让我失望的，看图高大上，还智能。	正面
280	嗯 回来就打开看了 挺好的 家里有好多小米产品	正面
281	二次购买了，第一次电视被我侄子小孩子打掉，所以又买了一台。适合放房间，给父母用	正面
282	发货和物流都很快，服务态度也很好。	正面
283	发货和物流很快，电视的价格合适，送货入户并开箱验货，好评 好评	正面
284	发货很快，送货时师傅帮忙确认了外观及电源是否完好，用了6天了，好评好评，	正面
285	发货快，图像清晰，看片流畅，没选错就小米。好评好评！	正面
286	发货送货都挺快，质量不错，清晰度也挺好的，很轻巧，已使用一段时间，没有问题~	正面
287	发货速度很快，隔天就到了，质量不错，大爱！一直都在用小米的产品，是小米的忠实粉丝！	正面
288	发货速度快，客服小姐姐服务态度好，还会再次购买的！	正面
289	发货速度快，送货师傅态度很好。	正面
290	发货挺快的 安装也比较方便	负面
291	发货迅速，宝贝质量很好，操作简单，内置WiFi连接方便，物美价廉看电视神器。	正面
