,evaluation,0
485,电视整体看起来不错，图像清晰,正面
3151,用了一周多了，也下定决心来评价一下。家里接闭路电线来看，画面很模糊，看着很刺眼。后面我让老爸改用网站来看，他说偶尔也有字体变得很大的情况，看都看不清楚。总体看起来电视还是很不错的，但我爸用着，他的评价并不是很好。拨打4k电视，也没有达到预期的效果，屏幕也没有宣传的那么好。如果再给我一次机会选择的话，我会加价去买三星了。但这个价格，还是值得了。,负面
2970,1 电视清晰度可以接受 如有更高要求的不建议买 2 电视开机忒慢 3 抢购的时候没注意发票信息，给公司买的这些还得自己找发票 4 玩了一下里面的游戏 ，卡死两次 5 999抢购的 也就这样了还是不错的总体来讲,负面
3550,屏幕漏液，灰屏，旧换新了，质量差不说，售后服务真的是差到极点，6月2号提出处理，到了29号才完成，这还是我自己接二连三催着他们才处理。每次问他们处理进度如何，都是叫我迟点再联系他们，无力吐槽，最后要我投诉才处理，打售后电话又说是天猫商城负责，不关他的事，天猫商城又说要厂家处理，打电话给售后说给我答复，我没得到任何答复，我的天呐，推来推去。交叫上门取旧机就更来气了，迟迟不收件，物流是他们合作的却不关他的事一样，你不催他不急，会故意拖到你七天退款期限，退款的时候还会敲诈无理由100元运费，什么鬼东西，质量问题是无理由吗？买这个垃圾品牌的要注意了，如果看重售后的就别买，等你们遇到要售后的时候就知道什么叫垃圾了。掌柜敢不敢回复我的评论，如果认为我乱说，我可以提供图片证明。唉，心累,负面
2477,基本上只能给一个中评到差评标准，使用半个月 做以下总结，真实评价不喜勿喷，选择片源时候死机基本上每天一到两次，画质只有它机器自带的画面比较清晰，进去片源以后色彩不好看，并且不能调节，需要返回主页选择显示效果。赠送的会员没有任何吊用，我以为可以像其他一样什么都能看，但是里面都是svip的片源 需要再花钱升级到钻石会员才可以。属于欺骗顾客，基本的同步最新电视剧都看不了，片源还少。电视声音巨差，还拿中国新歌声当幌子，声音没法听，我用了外接音响才能听，更别谈音质了！不能插稍微老一点的机顶盒因为根本没有音频视频老式接口，过了七天退货，所以退不了了，给大家一些使用感受，过几天就没有送E卡活动了，也没有满减券 我买的2 9 9 8*，基本属于贵的买价了吧,正面
2058,总体来说还行，音频输出端口不方便,正面
2275,电视一般般，物流很差，不满意哦！,正面
1144,物流给力，送客户的！后续评价！,负面
1156,非常大气，性价比非常高，强力推荐！ 晒单： 收起 向左转 向右转,负面
3335,物流挺快的，也挺准时的，就是一点京东的价格太坑人了，我买的时候价格是1498还没有一天呢价格就降到了1298,负面
1690,产品质量很好,正面
3492,电视机相当不错，安卓系统不错！卡车送货小哥送货到位就是第一时间没找到地点，我亲自去接的给我搬家里了！这回送货速度超快一天不到就到了！ 自己用鲁大师检测了屏幕坏点！发现有个瑕疵！反正你们微鲸一年内只换不修！明年的六月肯定让客服换个新的！被我抓到把柄了！抓你小辫子！下边二张就是屏幕瑕疵也不知道是坏点呢？还是偏光板上的灰尘！我在TCL 55寸曲面三星屏上见过比这个更大的！无奈退货了！谢谢请尽快登记送我原装挂架！,负面
2789,1.说一下优点 显示解析度可以。而且是Android L比那些4.4的好多了。视频源用的腾讯，真给力，喜欢的网络动画不用开电脑看了。会员可以用蓝光品质播放，细节很到位，这个需要自己设置，它默认的是高清。 2.说下建议 因为是大屏高分，所以部分第三方手机应用闪退不支持，比如慕课网，哔哩哔哩等。还有一个就是屏幕封装有点缝隙。这几个希望改进。期待新系统的推送。 3.对了，什么当贝市场呀，自己装一下，还有HDP不错。 想看高清还是装个数字电视机顶盒吧，网一卡真的跪了,负面
650,电视不错哦，就是手机太差拍的不好，非常的喜欢，看电视流畅，用了几天才来评价的,正面
915,画面清晰，流畅度一般，用了一个多。没发现质量问题,负面
1296,价廉物美，喜欢！,负面
1304,电视还行，物有所值，最重要的是京东的售后好，师傅电话联系送过来，安装好调试好，态度特别好,负面
2515,有时候会死机，画面卡在那不会动，还有界面真不行，乱七八糟的，这电视只能说一般。,负面
1596,先前618买的，一段时间使用后觉得很满意，性价比不错。做为贺礼再次购买送人。,负面
2942,安装有点贵，京东还是很给力的,负面
320,是在做活动是买的还是很优惠 物流速度很快 京东物流必须赞一个 上门的装修师傅很亲和 售后也很耐心 购买体验是非常不错的 画面还是蛮清晰 而且遥控器反应速度快 看电影看电视剧都可以下一个当贝影视快搜搜得到 而且风行的这款电视在网上的评论也都是蛮好 属于高性价比的那一种,负面
1315,安装师傅态度不错，不知道电视效果怎么样。,正面
985,已经收到了还没有安装使用应该不错！,正面
3272,一天多就到货了，安装也很快，暂时没发现什么毛病，音效确实不错，不愧是李健创立的品牌，性价比高，操作也简洁方便，速度也挺快的，各方面还有待考证，就是自带的安卓看电影电视很卡，老是在缓冲中，另下的就不会。还有屏幕漏光挺厉害的，透光也是，做工还有带加强，不是全金属外壳，还有要求会员的片太多，不是会员几乎看不了什么东西，你们的会员并没有这么值钱，建议买微鲸电视送永久会员！！！,负面
1508,物流很快，电视也很清晰，重量也不是很重，很适合挂在墙上。 晒单： 收起 向左转 向右转,正面
3704,并没有智能语音 遥控器上本该是语音的那个按钮是静音键 亮度略低 但是瑕不掩瑜还是挺不错的,负面
289,电视图像很清晰，质量保证价格也合理；物流也很快；大家放心购买！,正面
3831,屏幕不错，但是声音一般啊，看片还得配音响,正面
1591,电视还是挺清晰的，也挺薄，认为性价比非常不错的一款电视。现在小孩整天都在看动画片。就是还是希望不用金卡会员的电影能多点。,正面
1042,老顾客了，东西很好，会回购,负面
2761,遗憾左下角轻微漏光，处女座不好忍啊,负面
1611,价格实惠，价格实惠，很好。,负面
3520,特地用了一段时间才来做个如实的评价： 优点：送货快，货源与物流有保障；边框窄，外观精致；性价比高； 缺点：1.下边框与显示屏接触不严密且不均匀（外框不直，见图），当然这不影响使用；2.虽说是4K高清，但很多片源播放不了，送的一年白金 会员4K片源均可播放，但我用的是移动宽带，移动宽带送的魔百盒里的4K片源好多播放不了，不知什么原因；3.送的白金 会员片源少，比移动的少多了，且没看到有实时在线电视；4.送的挂架虽是免费的，但是质量一般，其中一个支架已变形，且螺丝孔是滑牙了（我自己借了丝锥攻丝处理了）；5.内存太小，装不了太多软件；,正面
3451,并没有智能语音 遥控器上本该是语音的那个按钮是静音键 亮度略低 但是瑕不掩瑜还是挺不错的,负面
910,此用户未及时评价，系统默认好评。 2017-12-25 20:13:54 追加： 小米真心不错，物超所值,负面
3545,把电视安装的，让我开门进来觉得都快掉地上了，好想去扶下，所以给差评！决对的差评！！！已经对电视好与坏都没了没了兴趣,负面
2636,微鲸电视还是很不错的，6・18后一天买的，价格挺优惠一千七百一十六，一年会员，没有语音遥控器。屏幕挺好的，画面显示清晰，色彩很舒服，不过浓郁也不泛白。会员内容挺丰富的，想看的内容都有且都能正常播放，比如吐槽大会、中国新歌声都有。不过也有不足，比如处理器一般，GPU也一般，有些电视画面会有拖影，内存组合1GB+8GB，有点过时了，可能是内存小的原因系统偶尔会有卡顿。不过这个价格有这样的电视，我挺满意的，希望微鲸电视继续加油,负面
1886,风行电视清晰度和音效都挺好，真是物美价廉，性价比高！,负面
3571,性价比非常高的国产智能电视，除了开机有点慢之外，毫无缺点。超清片库，太灵了。,正面
651,电视非常的好，很喜欢。性价比超高，从快递到安装服务都很满意。全部给满分。,负面
138,妈妈说，电视机不错，用一段时间再说呗,负面
926,看上去很不错～还没装～装好在发图,正面
6,非常好，客服还特意打电话做回访,正面
2374,电视倒是不错，也挺便宜，但是偶尔会出现卡屏现象,正面
111,物流客服都很给力，比想象的还大，画面也清晰。,负面
4093,第一次买微鲸电视，整体感觉电视不错性价比高，但是有一点感觉有点霸王条款，系统自动更新，不能进行选择是否升级！整体满意！我家客厅有点小，刚装上看一会儿还有点晕可能太清晰了。再就是京东的配货速度相当6！给??????！,正面
3251,坏了 换新的,正面
1513,特快送货，上午下单，下午到货。,负面
964,内容较多，操作方便，轻薄，不知是否耐用，待观察,正面
1220,好还实惠,负面
4080,朋友家里用的感觉不错，也在网上做了调查研究后决定买的这款。用了几天感觉很好，画面很清晰，声音也可以，如果追求高品质音效，那得配个音箱，普通需求足够。片源一般般，主要连电脑的所以也不是很在意。唯一个小毛病，电源线只能接插线板，接我家的固定插板都不通电，正在和客服联系,负面
489,服务态度好，速度又快 晒单： 收起 向左转 向右转,正面
4060,最差劲的一次购物，半颗星都不想给，电视无法领取会员客服都无法解决，让打技术支持电话，打电话给技术支持，态度不错，告诉我也没办法解决，要下班了，第二天再找相关人员解决。电话过程中，旁边其他客服聊天声音特别大。 特别是京东回复客服，完全没有替客户解决问题的态度，微鲸客服严重需要培训啊。太失望了，本来抱很大希望的。这台机器肯定是退货后从新包装了又直接发过来的。账号已经被领取过了。,负面
2010,质量不知道，反正做工不细，清晰度也一般，色彩也不好，对画质要求高不介意购买,正面
876,东西非常不错，好用 屏幕尺寸合适，观看起来很过瘾,负面
218,宝贝收到很好，再来物流也快。,正面
1074,电视买来几天了，才来评价，我觉得还是物有所值，电视自己调试的，快递员也很尽心，尽力，还从小区大门口给扛进来的，感谢快递员。。另外，电视还是清楚的。,正面
939,不得不说风行电视真是良心品牌，买之前还一直在纠结电视会不会很小，结果买回来一看屏幕真大，尤其是边框很宅，几乎屏幕全部占据了整个电视；昨天下的单，今天就到了，客服也是十分贴心，下单五分钟左右就打电话过来确认送货时间收货是否方便。电视试着操作了一下，反应速度很快，电视电影播放流畅，应用和游戏丰富，关键是这么优质的电视价格还很优惠，绝对的物超所值！ 晒单： 收起 向左转 向右转,负面
3465,自己等不及直接拆了装上去。价格真的有点贵。这已经是第三台了。去年这个价可以买50寸4k。物流速度蛮快，当天就收到了。屏幕暂时没发现瑕疵。画面不知道为什么跟前面两台相比色彩不够艳和暖，有点淡，不知道这个4k是不是纯正，还是缩水了。声音可以接受。,负面
326,画质清晰，音响效果好，屏幕大 ，装在房间里，感觉在看电影一样的！,正面
973,好，不错，看起来很大，很好看,负面
1000,电视非常好，售后安装小伙非常棒，服务态度好,负面
2657,电视小了点，电视清晰度还可以呀，只要在1.5米到2.2米之间观看即可。远了显得小 ；近了分辨率不够，很粗糙,正面
4242,"电视太厚了,比我另一个5年前的还厚,做工一般",正面
938,服务不错，送到家，可以 2017-12-03 09:45:39 追加： ?手点太快了，没满分，给满分好评，服务不错，很有耐心，赞个！！！???,负面
3562,第一次买这个牌子的电视，刚到家屏幕就有问题，换过流程麻烦又费时间，前后一个星期，好在售后人员和物流人员态度很好，让我心里暖和些，电视外观可以，屏幕不怎么样，漏光严重，经常开机要几分钟，这个问题估计以后系统会完善，但是屏幕漏光就没得解决了，便宜货凑合用了,负面
1033,电视已经收到，安装送货很快，师傅态度也很好，画质很清晰，总体都很满意,负面
2050,与想像中的一样，按预约时间送货。电视画面可以，声音没有广告说的那样完美，跟hifi有一段距离。操作简单。,负面
827,大品牌信得过,负面
3227,刚买到手就降价，心里很窝火呀！用久了再来追评吧！语音遥控功能有点鸡肋,负面
2547,电视机边框缝隙大，和物流人员搬动试机的时候可以看到显示屏在边框里有很明显的晃动，这个是我最不满意的地方，还有喇叭确实不怎么样！不过性价比挺高的，毕竟价钱比别的品牌低，希望以后别出毛病，以后再追评！,负面
1429,索尼的就是低端系列也秒杀其它品牌高端，真行啊，就是优惠幅度小，全年无优惠，不行就下市也不降价，总之很牛叉,负面
201,双十一买的特意用了这么久才来评价，确实很满意，上门安装师傅服务也很好??，后期回访也很认真！十分满意的网淘！！！,负面
619,用后感觉，缺点:1开机比较慢，2资源比较少.优点:音质不错,负面
2527,靠语音电视打出来的品牌，以为所有的电视都是语音的。唯独32寸的没有，收到后问客服，客服说写了没有语音，我没看到这四个字。建议加上。我也是买了两台微鲸了，唯独这个不满意。,负面
1620,电视很不错，帮朋友代购的，我朋友非常满意，店家服务挺好，送货及时,正面
3597,原来的坏了换新的,正面
2720,第三方软件可供下载的不是很多，刚买了两三天，卡过一次，遥控器失灵了，强制关机了一下，恢复过来，主要说一下送货的，中午已经到货了却送不了，说要等明天，最后我找车自提的,负面
598,这款电视很不错！以后买大宗家电就在京东了，送货快，服务好！,正面
1091,不错,正面
4099,非常不错，第三次买了 这次介绍给同学的。起先，知名度不高 怀着忐忑的心情，结果一直好，就是挂架比较贵，年费还涨了199，现在299了。,负面
2210,昨天到货 一点都不满意 底座没包装在里面 现在都还没给我答复,负面
506,因为我自己双十一买了台55寸的、觉得很不错、双十二给哥哥买了台43寸的、原本想买49寸的、结果49寸当天停售一样的、浙江台州、武汉全没货、没办法就买了43寸的,负面
3102, 都已经一个多月了，上个月4.8号兑奖的，等了这么久。好伤心。感觉是骗子！对这个微鲸也是很失望 ,负面
3457,看着价格便宜就买了活动力度很给力这个还是有什么说什么！但是从配置和搭配的硬件看就不是很完美了必经一分钱一分货啊！希望以后不要搞怎么多坑！这坑多了好不容易搞上类的口碑就………… 我是微鲸第一批产品的购买者那那时候活动又给力给的配件更更的没毛病！就是看着这么好的服务质量又过了这么一段时间看着刚刚生产出来的产品估计不会比原来的差所以就下手在买一台放在卧室里结果希望越大………… ！说说这太2017年上市的电视吧不重很薄这个不是盖的女孩都很轻松的拿起.遥控器操纵电视.电视里的精准度没有原来的好.是不是蓝牙和红外的有区别这个我不清楚.电视的清晰度这款调低了人看着有点别扭.动画就好点（所以那么便宜）！声音很一般要调到18以上隔1.5米才能完美和我前面卖的55寸的比开到10就可以说扰民了.后面的接口少了很多是不是精简了这个我不好说 这些都是我个人的意见（可以说是吐槽)!总之对品质有要求的建议就不要买这款了！多花点钱还是有保证的.,负面
34,给奶奶买的，奶奶很喜欢。送货的服务也不错哦。,正面
3937,第二台，只不过今年的价格是出奇的高了,正面
2633,电视挺好的，暂时没什么问题，反应有点慢，内存加1g就完美了,正面
1414,很好 价格又不贵 给赞,负面
1927,开机有点慢，但是超清啊，可以直接连WIFI也很方便啊，能看的片子挺多的,负面
3688,这个电视一开始送来的时候，开机试机的时候，不知道怎么回事，一直屏幕不亮，还以为有问题。后来打了售后，在他们的指导下，现在没有问题了。大小和我家背景墙还蛮配的，现在体验还不错。,正面
171,电视已经收到货，整体来说，操作界面很清晰，很简洁。会用普通电视遥控器，就能熟练操作风行电视。电视画面非常清晰，应用包含许多内容，比如，电影，综艺，幼儿卡通等等。屏幕大，我今年双12下的单，活动价买的非常超值，晒单还给价值1500多元的风行3年的金牌会员，更超值啦。这个电视值得购买，一定推荐给身边的朋友。,负面
655,电视机收到了，49寸的感觉也很大，颜色也好，物流很快，也帮我们搬到家里，安装师傅态度好，很负责，还帮我们连接调试电视节目，教我们选节目，这是第一次在京东买这么贵的电器，以前还不放心。现在放心了！老公也喜欢这电视机,负面
3775,6月1日0点秒的43D电视，性价比非常高还赠送了挂架，放在卧室非常适合，上半部分很薄，下半部是接口和板卡的位置所以比较厚，可惜现在的底座简配了，面积跟重量直接减去一半，遥控器也比43J的简单，总得来说，43D是不错的选择，关键是开机不会有广告。,正面
3699,618搞活动买的，今天送到。嗯，初步选定了好几个品牌，比较来比较去.最后选定微鲸的，也主要冲外观而选择它，边框做得比3S小，而且无缝的，底座也好看！ 2.屏幕色彩：微鲸是用京东方屏幕，而3S是LG的，都是硬屏，没什么感觉漏光，色彩对比3S偏冷和淡一点，特别是人像肤色总感觉偏蓝白色（色彩模式我已调成暖色）没3S的真实，但差距不大，看高清电视节目糙点比3S的大，可能是屏幕大的原因，看4K电影就很好！内存2g，16G，相比小米的32G小了一点，但是足够了，你其他的一个g的四个g的还有个别冒品牌充4k的要好，(据说可以用软件检测出）。 3.声音：，音量也不大，放最大声也不会很大，对声音要求高的以后再加个音箱吧！ 4.反应速度：就是快，开机快关机也快，并且没有广告各！ 5.系统：跟小米也差不多，主页分栏比小米明细清楚一点，送的会员很好，片源很多，连接网络也很快，到期也会继续买！ 不足之处是每次选择操作都要回到主页面。总结：整体感觉这微鲸55D2UA性格比很高，55寸6.18卖②⑨⑧⑧。据说还有蓝牙遥控器送，在等ing。 ?,正面
3826,家里人都说好，很清晰，看高清电视很爽，音响一般，看电视够了，有追求的还是再上别的音响。,正面
4189,lj啊，刚过一个月就出了问题，卡机，进不去系统了，不能退了，给换了一个，悔不当初啊,正面
2918,对比了，小米，还有雷鸟。总体来说性价比高。屏幕是京东方的硬屏。内容还可以。就是有的需要砖石会员。整体来说还是挺好的。遥控器很好用,正面
933,画面清晰，遥控板手感好。就是开机和关机时间较长。,负面
2545,到手24小时，使用了几个小时。蓝牙遥控器配对出点问题，最终恢复出厂设置才好。优点目前没发现，或许电路设计会比其他品牌好一点。说点缺点吧，屏幕边框贴合度极差，色彩不讨喜，色温调整冷不冷，暖不暖，作为数码骨灰级的我来说颜色这块较差，音响效果不理想，和hifi完全不搭界，我是直接外接了2.1音响。遥控器因为是蓝牙的，所以遥控关机后必须按电视机背后的五键才能启动电视，这个设计有点逆天。hdr没看出什么效果，动态背光很鸡肋，目前个人使用已经关闭并且降低背光到50，开启动态背光的话画面忽明忽暗，细心的用户会比较反感，普通用户可能发现不了。整体画面效果比较失望，中肯评价，完毕,负面
4068,电视非常不错，非常优惠的价位能购买到55寸的曲面屏大电视真心划算啊，系统用起来非常流畅不卡顿整体看起来是很惊艳的，就是整体有点厚，但这个无所谓，电视嘛，就是放在家里，又不是拿在手上，这个不是痛点，电视可以用一年的会员，可以看很多的高清大片，电视直接看不了直播电视，得下载个软件，名叫电视家，下载后可以看，不谢，其他都还好，整体很完美。,负面
3531,第二次购买，觉得微鲸的电视不错，资源还算丰富，就是没有直播，这点比较不满意，其他都比较满意！,负面
264,电视收到了 包装很完好 感觉很厚实 外观很好 边框薄 要是黑色会更显薄 开机速度很快 各种界面切换很流畅 可以看出系统强大 总之很好,正面
2916,电视不错。 画面也很好。就是会员不太给力。 腾讯视频好多电影都不能看。 比如变形金刚。 异星觉醒等等。,负面
2738,差评 绝对的差评 刚买来 开机没事 然后签收过后看了一会 屏幕左上角就出现竖条彩纹不断闪动 打电话反映情况 两天后才给解决 说只能换机 采集完 证据 然后换机 要7-15天 无语 你让我看什么啊 质量问题 大家谨慎购买 毕竟新牌子质量保证不了,正面
351,质量好，画质清晰，不错,正面
3469,特地用了一段时间才来做个如实的评价： 优点：送货快，货源与物流有保障；边框窄，外观精致；性价比高； 缺点：1.下边框与显示屏接触不严密且不均匀（外框不直，见图），当然这不影响使用；2.虽说是4K高清，但很多片源播放不了，送的一年白金 会员4K片源均可播放，但我用的是移动宽带，移动宽带送的魔百盒里的4K片源好多播放不了，不知什么原因；3.送的白金 会员片源少，比移动的少多了，且没看到有实时在线电视；4.送的挂架虽是免费的，但是质量一般，其中一个支架已变形，且螺丝孔是滑牙了（我自己借了丝锥攻丝处理了）；5.内存太小，装不了太多软件；,正面
1643,物有所值,正面
1104,电视很清晰，整体造型时尚大方又漂亮，快递服务到位，装机服务人员很专业，细心。很满意这款风行互联网电视。,正面
3610,电视还不错，做工一般，电源开关处还有一层黑色的垫子露外面的，有点掉档次，声音效果一般，物流慢，慢的让人想退货,正面
4148,自己安装特别简单..清晰度很好.我爸妈俩老都说不错，试了语音遥控还可以.就是音乐不能语音遥控--音响真心的不咋样，有待提升--可能是6.18原因吧物流特别特别慢！总体感觉上还是老人家说还可以-都可以简单的操作。,负面
874,好，物流快，服务好！物有所值！,正面
805,画面质h非常好,负面
3448,用了几天了，总体还可以，就是开机有点慢，希望可以优化好点,负面
538,外观很漂亮 很清晰 无边框感觉很大。,正面
1933,联网不行自动跳台很不满意,负面
1673,很好非常好,正面
122,感觉不错，装起来美的很，现在只想看电视了，什么都不想干,负面
3364,我以前买了一台乐视的电视，但是呢，后面还是想有一个多的选择，选择了这个微鲸啊，还有选择了pptv，然后还选择了这个创维一些国产的品牌，但是仔细参考参数之后还是做出了一个大胆的选择，选择的微鲸，使用了，之后的感觉非常的不错，老婆也非常的喜欢，感觉比那个乐视的话还是有一定的优势。可惜的话就是会员不够多，然后的话价格稍微贵了一点，现在可能那个平板液晶平板这一块也涨价了，所以说这个也情有可原。喜欢的可以大胆下手了，不会失望的，至少比创维，海信要好多了…性价比更高！,负面
2811,挺好用的，美观实用。。。中间坏了一次，给换货了，总体还行，希望别再出问题,负面
1232,一下子购买了两台。风行电视，画面清晰，系统流畅。而且节目内容非常丰富。一台放在那地下一台直接挂在了墙上，美观。大方。 2017-12-17 11:37:54 追加： 两台都非常好。风行电视，就是好。,负面
3594,电视机质量不怎么样，一个55寸的半年不到屏幕坏了，之后换了一个新的又出现网络连接不上的问题，每次都得回复出厂设置才行，建议大家买之前考虑好。,负面
2704,电视和描述的一样，画质比较清楚。就是遥控器与电视连接蓝牙的时候费了不少周折，还好，都是小插曲。弱弱的问一句，你们的遥控器和电视连接蓝牙的时候好连接么？希望以后能一切顺心！后期我再追评哈！,负面
2874,产品本身什么都满意，就是有几点：1.开机贼慢 2.内置应用商店的应用少的可怜 3.影视资源也不算多 4.遥控器比较寒碜都没有带滑滚 5.厂家的客服不咋地，一个互联网企业问点小问题都不专业怎么立足！,负面
3878,第一次买微鲸这个品牌。新家还没装修好，电视提前买了，都没地方放了，放在床上测试了下，4k效果很好，反映也很迅速，很流程，遥控器没问题了，没发现失灵情况，屏幕检测了一下，有轻微的漏光，问客服，客服说小于国家标准，我看也不影响观看，整体感觉很好，希望后期会更好。,负面
4158,东西送货超快的，已经在试用，音质不错，但是不提供免费安装服务让人确实太郁闷了，之前买的联想和乐视电视都提供免费安装服务的，互联网品牌还是不行。售后堪忧………,负面
402,发货快,正面
2848,电视不错，色彩艳丽只是有一点点漏光但不严重，就是刚买完还没有确认就又降了一百，店家又不给补差价心里感觉不舒服，但是客服的服务态度还是不错的，给点个赞吧。,负面
1210,给亲戚买的，性价比挺高的大品牌。,正面
2939,1.电视效果很好，画面太美，系统流畅不卡顿。 2.外观设计超喜欢，无边框很美，简单．超薄．大气上档次。 3．物流有点慢，厂家发货速度要加强，京东自营由厂家直接发货，这个有点影响京东的配送效率。 4.安装的小插曲，微鲸售后服务需要加强做好三点一线的工作，作业人员与第三方安装工程公司的信息要统一，以免影响客户的需求。 5.该型号微鲸客服说免费安装，可第三方安装人员说要收费一百元，安装人员与公司确认需收费，说是微鲸未通知到十分到家公司，导致无法安装，经多次电话给给微鲸客服要求安装，由于微鲸的工作问题，第三方（十分到家公司）和客户不满意，微鲸公司需加强。,负面
2431,开机特别慢，今天第二次开机的时候居然用了10多分钟，进去之后主页面基本和电视猫页面是一模一样的，总体来说还算不错的，毕竟价钱在这，,负面
3317,才买几天就降价200块了，这么坑，东哥知道吗，京东的保价还能相信吗,负面
2584,电视很好，服务也很好，售后非常积极。安装人员人很耐心、细心，有不懂的问题都积极解答，天气热，大哥也兢兢业业的为客户服务。画面不错，就是动态补偿有很大提升空间，小幅度慢速动的话问题不大。音响不好，没有立体音效。这都是收货半天的感受，看看以后会不会出问题吧，普通电视正常使用起码五年不会有什么毛病，看看微鲸表现怎么样吧。多支持支持先进国产产品不会错。,负面
3216,外观可以 画面也蛮好的，就是开机速度比较慢，没有五分钟那么夸张 三分钟是有了，可能是新机器的原因？整体不错，但是物流真的让我无语了，五月一号九点三十二分付款买的电视，系统显示当天下午就可以送货，结果下午物流来电话说最快第二天才能送货，说卖方客服下单下晚了，让我联系卖方客服，可是我联系客服了 客服告诉我物流与我预约到第二天送货了，我就晕了 谁和你预约的？这是其一，其二，第二天下午货送到 开机验货，物流送货人员找不到电视开关 竟然把电视的质保贴给弄坏了 说开关可能在里面，当时老人在家 问物流送货人员 这样没事吗，物流的说没事 不影响观看，所以才签的字。我回来后老人告知事情。其实也没什么事情 质保一年 如果这个电视连一年都看不住的话 我想就算找也没用的 他都敢把电视质量弄得那么差 还怕你找？ 已经与微鲸客服沟通，客服说已经签收 没有办法了 除非有证据显示 是物流人员弄坏的。其实说的也不是没有道理。算了 吃一堑长一智。,负面
2188,清晰度OK，但没有电视直播，不知道是不是现在不允许啊,正面
255,不错很好就是放在我家三楼有点摆不下太大了点,正面
1360,价格合适，系统好用，资源挺多,负面
298,宝贝很好！海尔售后服务态度一流的棒！信赖京东，信赖国产大品牌！买电器上京东！,正面
1500,开机一周后的评价，电视机质量很好，画质好，很清晰，色彩逼真。快递很给力，很快就送到家里，当场开包装，检验无损后方离开，帮的师傅安装的，很专业，很耐心，是一次满意的购物。 晒单： 收起 向左转 向右转,正面
2439,其他都挺好的。就是开机有些慢,负面
